GSLIB Example Data
4
x
y
z
var
0.723	0.564	0.785	2.853
0.915	0.317	0.357	0.749
0.346	0.484	0.690	0.786
0.591	0.150	0.669	0.290
0.157	0.332	0.006	1.777
0.329	0.746	0.814	0.489
0.818	0.580	0.877	6.356
0.468	0.726	0.964	0.829
0.941	0.306	0.548	1.582
0.630	0.738	0.951	0.305
0.981	0.868	0.215	0.195
0.114	0.019	0.938	0.463
0.206	0.408	0.049	0.372
0.950	0.363	0.180	0.816
0.040	0.809	0.435	0.666
0.872	0.843	0.637	1.789
0.247	0.509	0.478	3.073
0.526	0.903	0.526	0.160
0.239	0.036	0.584	0.265
0.101	0.939	0.168	0.571
0.400	0.459	0.596	0.259
0.958	0.948	0.804	0.712
0.362	0.304	0.870	0.350
0.401	0.358	0.956	0.384
0.942	0.816	0.356	1.108
0.341	0.232	0.222	1.480
0.704	0.599	0.020	0.883
0.253	0.969	0.497	0.078
0.757	0.662	0.986	1.100
0.680	0.531	0.138	2.623
0.337	0.174	0.061	1.917
0.398	0.745	0.461	0.158
0.973	0.733	0.013	5.849
0.885	0.437	0.376	2.046
0.117	0.361	0.743	0.394
0.092	0.891	0.464	1.989
0.823	0.129	0.619	2.069
0.435	0.205	0.908	0.372
0.311	0.658	0.014	3.501
0.482	0.998	0.975	0.693
0.184	0.427	0.625	2.045
0.362	0.412	0.436	0.537
0.293	0.434	0.520	0.685
0.922	0.822	0.558	0.919
0.221	0.295	0.502	1.089
0.094	0.074	0.400	0.841
0.382	0.985	0.697	0.759
0.339	0.188	0.692	1.412
0.678	0.729	0.508	1.412
0.078	0.901	0.811	1.364
0.980	0.452	0.115	1.125
0.731	0.151	0.332	0.792
0.150	0.158	0.520	1.195
0.894	0.309	0.912	0.321
0.120	0.498	0.341	0.803
0.924	0.516	0.928	1.039
0.239	0.793	0.933	1.959
0.732	0.110	0.600	1.864
0.538	0.290	0.926	1.438
0.919	0.881	0.622	0.332
0.782	0.617	1.000	0.134
0.473	0.199	0.307	0.159
0.796	0.065	0.852	0.345
0.489	0.991	0.178	1.328
0.232	0.872	0.667	0.760
0.681	0.119	0.279	1.693
0.670	0.043	0.529	1.675
0.697	0.049	0.916	1.815
0.739	0.094	0.048	0.217
0.897	0.325	0.974	0.077
0.879	0.187	0.072	1.036
0.121	0.293	0.685	2.164
0.437	0.544	0.597	1.525
0.461	0.395	0.283	0.098
0.339	0.744	0.464	0.527
0.981	0.254	0.761	1.583
0.835	0.307	0.720	1.004
0.840	0.294	0.653	3.987
0.718	0.278	0.728	0.648
0.928	0.995	0.165	0.665
0.797	0.142	0.391	0.526
0.478	0.449	0.676	0.115
0.932	0.012	0.725	0.319
0.681	0.402	0.536	1.101
0.564	0.994	0.023	2.857
0.397	0.992	0.735	0.274
0.892	0.619	0.589	2.430
0.058	0.453	0.939	0.606
0.538	0.877	0.392	1.040
0.873	0.327	0.494	0.266
0.156	0.339	0.874	0.745
0.707	0.907	0.421	1.223
0.368	0.054	0.649	2.094
0.196	0.826	0.289	0.371
0.871	0.552	0.598	3.453
0.498	0.208	0.901	0.228
0.570	0.556	0.553	0.360
0.208	0.167	0.460	2.941
0.292	0.180	0.814	1.044
0.083	0.459	0.098	1.209
0.987	0.211	0.702	0.316
0.978	0.491	0.242	12.991
0.088	0.713	0.184	0.728
0.813	0.659	0.551	0.397
0.324	0.184	0.244	0.345
0.849	0.011	0.833	1.805
0.086	0.360	0.446	3.373
0.451	0.814	0.145	1.103
0.833	0.811	0.552	0.282
0.149	0.384	0.316	1.571
